Position,Company,Region,Link
Senior front-end developer (full-time),xymatic,"Berlin, Germany",https://berlinstartupjobs.com/engineering/senior-front-end-developer-full-time-xymatic/
Full-Stack Engineer (m/w/d),Piano Software,"Berlin, Germany",https://berlinstartupjobs.com/engineering/full-stack-engineer-m-w-d-piano/
Full Stack Engineer,Kialo,"Berlin, Germany",https://berlinstartupjobs.com/engineering/full-stack-engineer-kialo-gmbh/
Senior Full-Stack TypeScript/React/Node Developer,Rip Technologies,Anywhere in the World,https://weworkremotely.com/remote-jobs/rip-technologies-senior-full-stack-typescript-react-node-developer
"Senior Backend Node.js Engineer (with Next.js, Nest.js, React.js)",Whitespectre,Anywhere in the World,https://weworkremotely.com/remote-jobs/whitespectre-senior-backend-node-js-engineer-with-next-js-nest-js-react-js
 Staff Mobile Engineer Flow Wallet , Flow Foundation ," San Francisco, CA, United States ",https://web3.career/staff-mobile-engineer-flow-wallet-flowfoundation/67801
 Technical Business Development Lead , Codex , Remote ,https://web3.career/technical-business-development-lead-codex/67798
 Director Sanctions Compliance , Circle - Referrals , Remote ,https://web3.career/director-sanctions-compliance-circlereferrals/67741
 Compliance Tech Insights Intern , Circle - Referrals , Remote ,https://web3.career/compliance-tech-insights-intern-circlereferrals/67739
 Compliance Data Reporting Manager , Circle - Referrals , Remote ,https://web3.career/compliance-data-reporting-manager-circlereferrals/67738
 Senior FrontEnd Engineer , Zap , Remote ,https://web3.career/senior-front-end-engineer-zap/67729
 Founding Full Stack Engineer NY , Future solutions ," New York, NY, United States ",https://web3.career/founding-full-stack-engineer-ny-futuresolutions/67716
 Solidity Developer Fully Remote Up to Â£120K , RemoteWorker UK , United States ,https://web3.career/solidity-developer-fully-remote-up-to-120k-remoteworkeruk/67711
 FullStack Engineer , Zap , Remote ,https://web3.career/full-stack-engineer-zap/67684
 Blockchain Developer , The Phoenix Group ," New York, NY, United States ",https://web3.career/blockchain-developer-thephoenixgroup/67676
 Scala Backend Engineer , Ledger ," London, United Kingdom ",https://web3.career/scala-backend-engineer-ledger/67675
 CSS Styling focused FrontEnd Engineer , MultiversX ,  Europe ,https://web3.career/css-styling-focused-front-end-engineer-multiversx/67673
 Senior Design System Designer , OKX ," Singapore, Singapore ",https://web3.career/senior-design-system-designer-okx/67657
 Blockchain Developer , BitKernel ," Austin, TX, United States ",https://web3.career/blockchain-developer-bitkernel/67590
 Mobile Engineer , Serotonin ," Chicago, IL, United States ",https://web3.career/mobile-engineer-serotonin/67577
 Web Game Developer , Chillchat Games , Thailand ,https://web3.career/web-game-developer-chillchatgames/67572
 Blockchain Engineer R D , Arrakis.fi , Remote ,https://web3.career/blockchain-engineer-r-d-arrakis-fi/67494
 Software Engineer New Grad , Magna ," New York, NY, United States ",https://web3.career/software-engineer-new-grad-magna/67428
 Sr Frontend Engineer , Entangle Labs ," Dubai, United Arab Emirates ",https://web3.career/sr-frontend-engineer-entanglelabs/67394
 Frontend Engineer , Paxos ," Yerevan, Armenia ",https://web3.career/frontend-engineer-joinpaxos/67362
 Senior Front End Engineer , Blackwing.fi , Remote ,https://web3.career/senior-front-end-engineer-blackwing-fi/63699
 Frontend Developer , Coins.ph ," Singapore, Singapore ",https://web3.career/frontend-developer-coins/67349
 Design Engineer , Edge & Node , Remote ,https://web3.career/design-engineer-edgeandnode/67344
 Software Engineer Growth , thirdweb ," New York, NY, United States ",https://web3.career/software-engineer-growth-thirdweb/67335
 Founding Full Stack Engineer , Siza-Buso Consulting ," New York, NY, United States ",https://web3.career/founding-full-stack-engineer-siza-busoconsulting/67329
